ID_SPARX_ERROR_UNKNOWN,發生了未知錯誤，請稍後再試。
ID_SPARX_ERROR_INVALID_CREDENTIALS,郵箱或密碼不正確。
ID_SPARX_ERROR_NAME_SHORT,用戶名長度為3至12個字元。
ID_SPARX_ERROR_NAME_TAKEN,用戶名已經被佔用，請重新輸入新的用戶名稱。
ID_SPARX_ERROR_NAME_INVALID,用戶名包含非法字元。
ID_SPARX_ERROR_PASSWORD_LENGTH,使用者密碼最少7個字元。
ID_SPARX_ERROR_PASSWORDS_DONT_MATCH,用戶帳號密碼錯誤。
ID_SPARX_ERROR_ACCOUNT_EXISTS,用戶帳號已經存在，請登入。
ID_SPARX_ERROR_ACCOUNT_DOESNT_EXISTS,用戶帳號不存在。
ID_SPARX_ERROR_INVALID_EMAIL,請輸入有效的電子郵寄地址。
ID_SPARX_ERROR_NOT_CONNECTED,網絡連接失敗，請檢查網絡連接情况後重試。
ID_SPARX_ERROR_SESSION,登入會話超時，請重新登入。
ID_SPARX_ERROR_FAILED_DNS,解析網路位址失敗，請檢查網絡設定後重試。
ID_SPARX_ERROR_MASTER_SERVER_UNKNOWN,找不到主遊戲服務器。
ID_SPARX_ERROR_NOT_JOINABLE,加入遊戲失敗，遊戲已經開始。
ID_SPARX_ERROR_LOST_CONNECT,你已斷開遊戲。
ID_SPARX_ERROR_JOIN_GAME,加入遊戲失敗，請檢查網絡設定後重試。
ID_SPARX_ERROR_GAME_KICKED,你已被踢出遊戲。
ID_SPARX_ERROR_NOFREEGAMES,所有服務器繁忙，請稍後重試。
ID_SPARX_ERROR_DUPLICATE_LOGIN,因為此帳號在其它設備上登入，你已經從此設備上登出。
ID_SPARX_ERROR_MUST_BE_LOGGED_IN,你必須登入後才能進行操作。
ID_SPARX_ERROR_FAILED_TO_VERIFY_PAYMENT,驗證購買失敗，請稍後再試。
ID_SPARX_ERROR_PROFANITY,不允許出現敏感字。
ID_SPARX_ERROR_GAME_LOST_CONNECTION,你已斷開遊戲。
ID_SPARX_ERROR_FACEBOOK,從Facebook獲取資訊失敗，請重試。
ID_SPARX_ERROR_FACEBOOK_INIT,初始化Facebook失敗。
ID_SPARX_ERROR_EMAIL_RESET,一封重置用戶帳號密碼的電子郵件已發送至{0}。
ID_SPARX_ERROR_FACEBOOK_CANCELED,你已經取消登錄Facebook。
ID_SPARX_ERROR_FACEBOOK,登入Facebook失敗，請稍後重試。
ID_SPARX_ERROR_TEMP_BANNED,該賬號已被凍結，無法繼續使用，請聯系官方客服獲取更多信息。\n凍結結束時間：{0}
ID_SPARX_ERROR_BANNED,該賬號已被凍結，無法繼續使用，請聯系官方客服獲取更多信息。\n凍結結束時間：永久
ID_SPARX_ERROR_PUSH_BANNED,該賬號已被凍結，無法繼續使用，請聯系官方客服獲取更多信息。

