ID_SPARX_ERROR_UNKNOWN,发生了未知错误，请稍后再试。
ID_SPARX_ERROR_INVALID_CREDENTIALS,邮箱或密码不正确。
ID_SPARX_ERROR_NAME_SHORT,用户名长度为3至12个字符。
ID_SPARX_ERROR_NAME_TAKEN,用户名已经被占用，请重新输入新的用户名称。
ID_SPARX_ERROR_NAME_INVALID,用户名包含非法字符。
ID_SPARX_ERROR_PASSWORD_LENGTH,用户密码最少7个字符。
ID_SPARX_ERROR_PASSWORDS_DONT_MATCH,用户账号密码错误。
ID_SPARX_ERROR_ACCOUNT_EXISTS,用户账号已经存在，请登录。
ID_SPARX_ERROR_ACCOUNT_DOESNT_EXISTS,用户账号不存在。
ID_SPARX_ERROR_INVALID_EMAIL,请输入有效的电子邮件地址。
ID_SPARX_ERROR_NOT_CONNECTED,网络连接失败，请检查网络连接情况后重试。
ID_SPARX_ERROR_SESSION,登录会话超时，请重新登录。
ID_SPARX_ERROR_FAILED_DNS,解析网络地址失败，请检查网络设置后重试。
ID_SPARX_ERROR_MASTER_SERVER_UNKNOWN,找不到主游戏服务器。
ID_SPARX_ERROR_NOT_JOINABLE,加入游戏失败，游戏已经开始。
ID_SPARX_ERROR_LOST_CONNECT,你已断开游戏。
ID_SPARX_ERROR_JOIN_GAME,加入游戏失败，请检查网络设置后重试。
ID_SPARX_ERROR_GAME_KICKED,你已被踢出游戏。
ID_SPARX_ERROR_NOFREEGAMES,所有服务器繁忙，请稍后重试。
ID_SPARX_ERROR_DUPLICATE_LOGIN,因为此账号在其它设备上登录，你已经从此设备上退出登录。
ID_SPARX_ERROR_MUST_BE_LOGGED_IN,你必须登录后才能进行操作。
ID_SPARX_ERROR_FAILED_TO_VERIFY_PAYMENT,验证购买失败，请稍后再试。
ID_SPARX_ERROR_PROFANITY,不允许出现敏感字。
ID_SPARX_ERROR_GAME_LOST_CONNECTION,你已断开游戏。
ID_SPARX_ERROR_FACEBOOK,从Facebook获取信息失败，请重试。
ID_SPARX_ERROR_FACEBOOK_INIT,初始化Facebook失败。
ID_SPARX_ERROR_EMAIL_RESET,一封重置用户账号密码的电子邮件已发送至{0}。
ID_SPARX_ERROR_FACEBOOK_CANCELED,你已经取消登录Facebook。
ID_SPARX_ERROR_FACEBOOK,登录Facebook失败，请稍后重试。
